80.534,177.7,-108.46,-5.9068,-90.358,-0.52808,-0.55128,84.917,2.1996,-0.71411,1259.5
188.35,236.94,34.965,0.87597,42.535,-1.3742,74.007,139.18,4.3992,-7.3921,1167.4
-75.784,177.7,-45.681,86.84,49.934,16.769,48.474,-70.343,6.5986,11.107,1419.1
258.28,59.235,-108.29,-13.05,15.449,-11.894,48.093,166.04,8.7977,4.0698,1186.1
-213.5,118.47,19.427,-0.38817,66.688,7.0382,-37.218,-99.714,10.997,-6.9705,1156.1
-237.75,-59.235,23.252,49.551,77.503,2.3553,110.23,-85.488,13.195,-1.6862,1224.3
-226.57,-0,-84.51,-119.56,-80.246,-26.374,-60.894,87.505,15.393,-9.6402,1551.5
-74.336,118.47,-89.326,74.473,-18.977,17.945,2.1347,19.301,17.59,5.6924,1472.1
-221.1,118.47,-52.33,173.41,4.5949,25.193,-72.538,-137.97,19.786,18.134,1529.8
-120.85,-59.235,97.206,-51.165,87.329,-9.7366,131.6,72.849,21.982,-4.4021,1391.6
114.43,-118.47,90.428,-13.783,-81.897,2.1421,111.15,123.48,24.177,-0.73162,1243.8
-230.84,-118.47,44.745,-20.412,-77.916,-21.873,81.924,-89.87,26.371,-1.6606,1229.1
-114.15,-236.94,31.8,5.9144,10.797,4.8143,118.09,145.19,28.564,-6.9568,1208.6
-184.2,177.7,33.15,119.65,45.994,12.893,82.446,-112.85,30.756,12.608,927.19
248.74,-177.7,-36.4,27.542,-90.713,-4.2351,-73.644,73.729,32.946,-0.96108,1204.9
139.97,236.94,43.493,-86.041,11.157,-22.264,-139.84,-116.81,35.135,-14.602,1404.6
35.415,59.235,3.2246,-136.06,-90.292,-20.291,29.444,-109.99,37.323,-12.185,1442.4
-122.47,-177.7,-22.038,-99.741,-16.945,-30.427,113.76,2.0148,39.51,-12.344,1619.4
217.12,-59.235,-44.785,39.162,46.6,8.5445,59.465,87.1,41.694,-0.66973,1131.3
138.68,-59.235,-0.10617,-47.197,-53.907,-16.396,-99.67,161.02,43.878,0.84085,1180.2
54.128,118.47,-23.856,66.706,89.715,13.399,-54.153,-77.386,46.059,10.697,1417
-210.51,118.47,57.663,-93.204,28.213,-19.479,9.9038,104.12,48.239,-14.866,1347.8
-41.37,118.47,110.53,52.369,48.125,3.1438,-15.167,-164.56,50.416,8.8771,1397.8
252.82,-177.7,13.818,16.671,37.192,16.886,-121.95,-42.634,52.592,9.2327,1513.5
-234.1,-177.7,85.742,34.871,41.51,10.978,-150.05,-101.67,54.766,2.2205,1180.4
-116.35,0,66.165,87.31,-67.015,18.697,-107.79,64.602,56.937,7.1814,1499.8
90.692,0,-25.271,83.453,39.024,3.508,-70.333,0.83713,59.106,4.1985,1310.6
-196.13,236.94,64.753,24.714,-33.4,8.0143,12.482,94.622,61.273,3.6327,1148.3
